class	hgvs_pos	Regions	Rule	Guidelines	Outcome
SVDBNormal	-41	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-42	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon extension', 'Exon skipping')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon extension', 'Exon skipping', 'Exon truncation')
SVDBNormal	-19	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-31	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-36	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-8	PPT	DA1	Standard	('Exon extension',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-3	Acceptor	DA4	Standard	('Exon skipping',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping',)
SVDBNormal	-49	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-45	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-37	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-23	PPT-Branchpoint	DA9	Context	None
SVDBNormal	-13	PPT	DA9	Context	None
SVDBSplice	-3	Acceptor	DA3	Standard	None
SVDBSplice	-12	PPT	DA1	Standard	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-6	PPT	DA5	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon extension', 'Exon truncation')
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	None
SVDBSplice	-4	PPT	DA8	Standard	('Exon truncation',)
SVDBNormal	-19	PPT-Branchpoint	DA9	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping',)
SVDBNormal	-9	PPT	DA9	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-3	Acceptor	DA4	Standard	None
SVDBNormal	-7	PPT	DA9	Auxiliary	None
SVDBNormal	-9	PPT	DA9	Standard	None
SVDBNormal	-12	PPT	DA9	Standard	None
SVDBNormal	-17	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-22	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-28	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-32	Branchpoint	DA1	Auxiliary	None
SVDBNormal	-33	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-41	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-45	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Intron retention',)
SVDBSplice	-22	PPT-Branchpoint	DA1	Auxiliary	None
SVDBNormal	-25	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-28	Branchpoint	DA1	Auxiliary	None
SVDBNormal	-45	Branchpoint	DA1	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-9	PPT	DA9	Standard	('Exon extension',)
SVDBSplice	-3	Acceptor	DA1	Standard	('Exon truncation', 'Intron retention')
SVDBSplice	-15	PPT-Branchpoint	DA1	Context	('Exon extension',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-3	Acceptor	DA4	Standard	('Intron retention',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBNormal	-28	Branchpoint	DA1	Auxiliary	None
SVDBSplice	-3	Acceptor	DA4	Standard	('Exon extension',)
SVDBNormal	-7	PPT	DA9	Standard	None
SVDBNormal	-17	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-18	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-40	Branchpoint	DA1	Auxiliary	None
SVDBNormal	-41	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-5	PPT	DA5	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon extension', 'Exon truncation')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-11	PPT	DA1	Standard	None
SVDBNormal	-17	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-21	PPT-Branchpoint	DA9	Auxiliary	None
SVDBSplice	-5	PPT	DA5	Standard	('Exon extension',)
SVDBNormal	-32	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-29	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-24	PPT-Branchpoint	DA9	Context	None
SVDBSplice	-3	Acceptor	DA3	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-3	Acceptor	DA4	Standard	('Exon extension', 'Intron retention')
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon extension', 'Exon truncation', 'Intron retention')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Intron retention',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation', 'Intron retention')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation', 'Intron retention')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBNormal	-45	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-29	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-21	PPT-Branchpoint	DA7	Context	None
SVDBSplice	-11	PPT	DA1	Standard	('Exon extension',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBNormal	-15	PPT-Branchpoint	DA9	Standard	None
SVDBNormal	-19	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-25	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-5	PPT	DA1	Standard	('Exon extension',)
SVDBNormal	-38	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-45	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-28	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-22	PPT-Branchpoint	DA9	Standard	None
SVDBNormal	-25	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBNormal	-28	Branchpoint	DA1	Auxiliary	None
SVDBNormal	-3	Acceptor	DA3	Context	None
SVDBNormal	-21	PPT-Branchpoint	DA9	Context	None
SVDBSplice	-1	Acceptor	DA2	Standard	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-8	PPT	DA1	Standard	('Exon extension',)
SVDBNormal	-7	PPT	DA9	Standard	None
SVDBNormal	-37	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-5	PPT	DA5	Auxiliary	None
SVDBSplice	-4	PPT	DA1	Standard	('Exon extension',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-8	PPT	DA9	Standard	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation', 'Intron retention')
SVDBSplice	-2	Acceptor	DA2	Standard	None
SVDBNormal	-8	PPT	DA9	Standard	None
SVDBNormal	-31	Branchpoint	DA7	Context	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-12	PPT	DA9	Standard	None
SVDBSplice	-15	PPT-Branchpoint	DA9	Standard	None
SVDBNormal	-4	PPT	DA8	Context	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-6	PPT	DA5	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-16	PPT-Branchpoint	DA9	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-26	Branchpoint	DA1	Auxiliary	None
SVDBSplice	-18	PPT-Branchpoint	DA1	Context	None
SVDBNormal	-17	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-15	PPT-Branchpoint	DA9	Standard	None
SVDBSplice	-5	PPT	DA5	Auxiliary	None
SVDBNormal	-9	PPT	DA9	Auxiliary	None
SVDBNormal	-13	PPT	DA9	Auxiliary	None
SVDBNormal	-18	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-41	Branchpoint	DA1	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-5	PPT	DA1	Standard	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-48	Branchpoint	DA1	Auxiliary	None
SVDBNormal	-47	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-35	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-29	Branchpoint	DA1	Auxiliary	None
SVDBNormal	-17	PPT-Branchpoint	DA1	Context	None
SVDBNormal	-11	PPT	DA9	Auxiliary	None
SVDBSplice	-12	PPT	DA1	Standard	None
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-39	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-5	PPT	DA5	Auxiliary	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-3	Acceptor	DA3	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBNormal	-10	PPT	DA9	Auxiliary	None
SVDBNormal	-32	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-4	PPT	DA8	Context	('Intron retention',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-3	Acceptor	DA3	Standard	('Exon skipping',)
SVDBNormal	-15	PPT-Branchpoint	DA9	Standard	None
SVDBNormal	-33	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBNormal	-3	Acceptor	DA4	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation', 'Intron retention')
SVDBSplice	-3	Acceptor	DA4	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Intron retention')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-24	PPT-Branchpoint	DA9	Auxiliary	None
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-13	PPT	DA9	Standard	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-5	PPT	DA1	Standard	('Exon extension',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Intron retention',)
SVDBSplice	-14	PPT	DA1	Context	('Exon extension',)
SVDBNormal	-44	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-27	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-7	PPT	DA9	Standard	None
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-15	PPT-Branchpoint	DA7	Context	None
SVDBNormal	-19	PPT-Branchpoint	DA9	Standard	None
SVDBNormal	-25	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-12	PPT	DA1	Standard	('Exon extension',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-37	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-5	PPT	DA5	Auxiliary	None
SVDBNormal	-19	PPT-Branchpoint	DA9	Standard	None
SVDBNormal	-22	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-31	Branchpoint	DA1	Auxiliary	None
SVDBNormal	-48	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-7	PPT	DA9	Standard	None
SVDBNormal	-20	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-41	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-48	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-42	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-44	Branchpoint	DA1	Creation	None
SVDBNormal	-8	PPT	DA9	Standard	None
SVDBNormal	-28	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-12	PPT	DA9	Standard	None
SVDBNormal	-34	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	None
SVDBNormal	-22	PPT-Branchpoint	DA9	Standard	None
SVDBNormal	-39	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon extension', 'Exon truncation')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-16	PPT-Branchpoint	DA9	Standard	None
SVDBNormal	-27	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-3	Acceptor	DA4	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-5	PPT	DA1	Standard	None
SVDBSplice	-10	PPT	DA9	Standard	None
SVDBNormal	-7	PPT	DA9	Auxiliary	None
SVDBSplice	-11	PPT	DA1	Standard	None
SVDBSplice	-8	PPT	DA1	Standard	None
SVDBSplice	-23	PPT-Branchpoint	DA9	Standard	None
SVDBSplice	-16	PPT-Branchpoint	DA1	Auxiliary	('Exon extension',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-36	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBNormal	-7	PPT	DA9	Standard	None
SVDBNormal	-25	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-45	Branchpoint	DA1	Auxiliary	None
SVDBSplice	-6	PPT	DA1	Standard	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBNormal	-36	Branchpoint	DA1	Auxiliary	None
SVDBSplice	-3	Acceptor	DA4	Standard	None
SVDBSplice	-13	PPT	DA9	Standard	None
SVDBNormal	-31	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-22	PPT-Branchpoint	DA1	Auxiliary	None
SVDBNormal	-9	PPT	DA9	Auxiliary	None
SVDBNormal	-18	PPT-Branchpoint	DA9	Standard	None
SVDBNormal	-23	PPT-Branchpoint	DA9	Standard	None
SVDBNormal	-50	Branchpoint	DA1	Auxiliary	None
SVDBSplice	-26	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-36	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-31	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-29	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-25	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-13	PPT	DA9	Standard	None
SVDBNormal	-10	PPT	DA9	Standard	None
SVDBNormal	-8	PPT	DA9	Auxiliary	None
SVDBNormal	-7	PPT	DA9	Standard	None
SVDBSplice	-3	Acceptor	DA4	Standard	('Intron retention',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Intron retention')
SVDBSplice	-2	Acceptor	DA2	Standard	None
SVDBSplice	-32	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-8	PPT	DA1	Creation	('Exon extension',)
SVDBNormal	-44	Branchpoint	DA7	Context	None
SVDBSplice	-29	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Intron retention',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-6	PPT	DA5	Auxiliary	None
SVDBNormal	-14	PPT	DA9	Context	None
SVDBSplice	-4	PPT	DA1	Standard	('Exon extension',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-5	PPT	DA1	Standard	('Exon extension',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Intron retention',)
SVDBNormal	-13	PPT	DA9	Context	None
SVDBSplice	-6	PPT	DA5	Standard	None
SVDBNormal	-12	PPT	DA9	Auxiliary	None
SVDBNormal	-13	PPT	DA9	Standard	None
SVDBNormal	-30	Branchpoint	DA1	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBNormal	-6	PPT	DA5	Auxiliary	None
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-6	PPT	DA5	Auxiliary	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon extension', 'Exon truncation')
SVDBSplice	-16	PPT-Branchpoint	DA1	Auxiliary	('Exon extension',)
SVDBSplice	-7	PPT	DA1	Standard	('Exon extension', 'Exon truncation')
SVDBNormal	-35	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-17	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-13	PPT	DA9	Auxiliary	None
SVDBNormal	-9	PPT	DA9	Standard	None
SVDBSplice	-28	Branchpoint	DA1	Creation	('Exon extension',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-3	Acceptor	DA4	Standard	('Exon skipping',)
SVDBSplice	-6	PPT	DA5	Standard	('Exon skipping',)
SVDBSplice	-3	Acceptor	DA4	Standard	('Intron retention',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation', 'Intron retention')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-17	PPT-Branchpoint	DA9	Standard	None
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-35	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-34	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-33	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-29	Branchpoint	DA1	Auxiliary	None
SVDBNormal	-14	PPT	DA9	Standard	None
SVDBNormal	-10	PPT	DA9	Context	None
SVDBNormal	-47	Branchpoint	DA1	Creation	None
SVDBNormal	-44	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-40	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-37	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-8	PPT	DA9	Standard	None
SVDBSplice	-20	PPT-Branchpoint	DA1	Auxiliary	('Exon extension',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-3	Acceptor	DA4	Standard	('Exon extension',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon extension',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-4	PPT	DA1	Standard	('Exon extension',)
SVDBSplice	-3	Acceptor	DA4	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-5	PPT	DA5	Standard	('Exon skipping',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation', 'Intron retention')
SVDBSplice	-1	Acceptor	DA2	Standard	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBSplice	-5	PPT	DA5	Standard	('Exon skipping',)
SVDBSplice	-1	Acceptor	DA2	Standard	None
SVDBSplice	-2	Acceptor	DA2	Standard	None
SVDBSplice	-3	Acceptor	DA3	Standard	None
SVDBNormal	-8	PPT	DA9	Context	None
SVDBNormal	-25	Branchpoint	DA1	Auxiliary	None
SVDBNormal	-32	Branchpoint	DA7	Auxiliary	None
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-3	Acceptor	DA4	Standard	('Exon truncation',)
